1,Republik Angola,ao
2,Burkina Faso,bf
3,Republik Burundi,bi
4,Republik Benin,bj
5,Republik Botsuana,bw
6,Demokratische Republik Kongo,cd
7,Zentralafrikanische Republik,cf
8,Republik Kongo,cg
9,Republik Côte d’Ivoire,ci
10,Republik Kamerun,cm
11,Republik Kap Verde,cv
12,Republik Dschibuti,dj
13,Demokratische Volksrepublik Algerien,dz
14,Arabische Republik Ägypten,eg
15,Staat Eritrea,er
16,Demokratische Bundesrepublik Äthiopien,et
17,Gabunische Republik,ga
18,Republik Ghana,gh
19,Republik Gambia,gm
20,Republik Guinea,gn
21,Republik Äquatorialguinea,gq
22,Republik Guinea-Bissau,gw
23,Republik Kenia,ke
24,Union der Komoren,km
25,Republik Liberia,lr
26,Königreich Lesotho,ls
27,Libyen,ly
28,Königreich Marokko,ma
29,Republik Madagaskar,mg
30,Republik Mali,ml
31,Islamische Republik Mauretanien,mr
32,Republik Mauritius,mu
33,Republik Malawi,mw
34,Republik Mosambik,mz
35,Republik Namibia,na
36,Republik Niger,ne
37,Bundesrepublik Nigeria,ng
38,Republik Ruanda,rw
39,Republik Seychellen,sc
40,Republik Sudan,sd
41,Republik Sierra Leone,sl
42,Republik Senegal,sn
43,Republik Somalia,so
44,Republik Südsudan,ss
45,Demokratische Republik São Tomé und Príncipe,st
46,Königreich Swasiland,sz
47,Republik Tschad,td
48,Republik Togo,tg
49,Tunesische Republik,tn
50,Vereinigte Republik Tansania,tz
51,Republik Uganda,ug
52,Republik Südafrika,za
53,Republik Sambia,zm
54,Republik Simbabwe,zw
55,,zz
